race_url,X1,X2,X3,runners,favourite,favourite_cloth_number,jumps.flat,places,expert_opinion,sf
https://www.fakehorsedata.com/racing/results/2019-02-27/gulfstream/514906/race-2-claiming,11,6.5,4,7,3.25,5,Flat,2,NA,67.37
https://www.fakehorsedata.com/racing/results/2019-02-22/jebel-ali/514215/jebel-ali-sprint-listed,4.333333333,2.375,4.333333333,7,2.375,7,Flat,2,6.63,8.51
https://www.fakehorsedata.com/racing/results/2019-03-02/newbury/514805/william-hill-supporting-greatwood-veterans-handicap-chase,7,13,13,11,4,7,Jumps,3,NA,76.01
https://www.fakehorsedata.com/racing/results/2019-03-14/market-rasen/516317/download-the-star-sports-app-now-mares-novices-hurdle,1.083333333,26,4,5,1.083333333,1,Jumps,2,NA,7.63
https://www.fakehorsedata.com/racing/results/2019-03-19/enghien/517358/prix-de-saint-saturnin-attele,7.5,23,2.75,14,2.75,9,Flat,3,NA,124.84
https://www.fakehorsedata.com/racing/results/2019-02-23/charles-town/514490/race-5-maiden-special-weight,2,2.875,7,8,2,4,Flat,2,NA,3.44
https://www.fakehorsedata.com/racing/results/2019-03-06/dundalk/515662/get-a-run-for-your-money-with-betvictor-fillies-race,1.333333333,3.25,51,4,1.333333333,1,Flat,0,NA,1.37
https://www.fakehorsedata.com/racing/results/2019-02-26/turf-paradise/514741/race-4-allowance-optional-claiming,4.5,3.75,3.5,6,3.5,2,Flat,2,NA,14.47
https://www.fakehorsedata.com/racing/results/2019-02-16/santa-anita/513448/race-5-maiden-special-weight,3.5,26,4.5,6,2.1,2,Flat,2,NA,54.08
https://www.fakehorsedata.com/racing/results/2019-03-09/laurel-park/516242/race-1-claiming,7,2.25,5,8,2.25,6,Flat,2,NA,15.1
https://www.fakehorsedata.com/racing/results/2019-02-27/lyon-la-soie/514833/pamperodine-maiden-stakes,1.909090909,3.25,15,7,1.909090909,2,Flat,2,4.34,3.7
https://www.fakehorsedata.com/racing/results/2019-03-07/caen/515873/prix-daubigny-monte,13,5,6.5,19,4.5,2,Flat,3,38.7,63.03
https://www.fakehorsedata.com/racing/results/2019-03-17/tampa-bay-downs/517263/race-8-claiming,1.666666667,4.5,21,9,1.666666667,5,Flat,3,NA,3.74
https://www.fakehorsedata.com/racing/results/2019-03-17/aqueduct/517239/race-2-maiden-claiming,5.5,67,7.5,9,1.666666667,1,Flat,3,NA,250.15
https://www.fakehorsedata.com/racing/results/2019-03-16/kempton/516587/matchbook-betting-podcast-novices-hurdle,3.75,2.5,26,4,2.5,4,Jumps,0,NA,7.42
https://www.fakehorsedata.com/racing/results/2019-02-16/wincanton/512851/betway-handicap-chase,4.5,9,17,9,3.5,3,Jumps,3,NA,31.55
https://www.fakehorsedata.com/racing/results/2019-03-02/santa-anita/515363/race-3-claiming,7.5,5.5,13,6,2.375,5,Flat,2,NA,37.11
https://www.fakehorsedata.com/racing/results/2019-02-16/penn-national/513424/race-3-maiden-claiming,4,1.666666667,21,7,1.666666667,7,Flat,2,NA,5.89
https://www.fakehorsedata.com/racing/results/2019-03-13/charles-town/516638/race-4-claiming,2.625,15,4,6,2.625,1,Flat,2,NA,26.63
https://www.fakehorsedata.com/racing/results/2019-02-15/delta-downs/513245/race-4-claiming,7.5,15,10,9,NA,7,Flat,3,NA,49.65
https://www.fakehorsedata.com/racing/results/2019-02-20/vire/513880/prix-optique-krys-yannick-pierre-monte,2.75,81,67,18,2.75,6,Flat,3,NA,242.55
https://www.fakehorsedata.com/racing/results/2019-02-21/vincennes/514039/prix-depinay-attele,10,5.5,51,15,2.5,5,Flat,3,NA,53.08
https://www.fakehorsedata.com/racing/results/2019-02-25/turf-paradise/514675/race-1-claiming,4.5,3,7.5,7,3,6,Flat,2,NA,11.86
https://www.fakehorsedata.com/racing/results/2019-03-11/stratford/516443/choose-your-horse-with-betvictors-betfinder-maiden-open-nh-flat-race-div-2,7,2,12,10,2,9,Flat,3,NA,12.8
https://www.fakehorsedata.com/racing/results/2019-03-09/meydan/515808/nad-al-sheba-turf-sprint-sponsored-by-arabian-adventures-group-3-stakes-turf,1.25,7,12,11,1.25,8,Flat,3,NA,2.51
https://www.fakehorsedata.com/racing/results/2019-03-15/chelmsford-city/516407/bet-totequadpot-at-totesportcom-handicap,4.5,5,12,8,2.625,8,Flat,2,NA,17.88
https://www.fakehorsedata.com/racing/results/2019-03-17/gulfstream/517165/race-10-starter-optional-claiming,6,6,3.25,11,3.25,11,Flat,3,NA,33.47
https://www.fakehorsedata.com/racing/results/2019-02-14/charles-town/513089/race-7-allowance,9,8,2.25,7,2.25,6,Flat,2,NA,65.47
https://www.fakehorsedata.com/racing/results/2019-02-17/laurel-park/513578/race-3-claiming,1.5,4,7.5,5,1.5,5,Flat,2,NA,2.68
https://www.fakehorsedata.com/racing/results/2019-03-19/turf-paradise/517405/race-8-allowance-optional-claiming,5.5,11,15,9,2.875,7,Flat,3,NA,53.78
https://www.fakehorsedata.com/racing/results/2019-02-13/toulouse/512883/prix-daubagne-attele,5.5,17,15,15,4,2,Flat,3,NA,79.73
https://www.fakehorsedata.com/racing/results/2019-02-24/angers/514496/cesbron-lavau-chase,7,5,3.5,9,3,8,Jumps,3,NA,34.75
https://www.fakehorsedata.com/racing/results/2019-03-19/sunland-park/517382/race-2-claiming,2.75,1.909090909,12,5,1.909090909,5,Flat,2,NA,1.46
https://www.fakehorsedata.com/racing/results/2019-03-07/thurles/515885/thurles-handicap-hurdle,2.5,8,7.5,10,2.5,6,Jumps,3,NA,13.49
https://www.fakehorsedata.com/racing/results/2019-02-27/southwell/514304/betway-casino-handicap,34,3.75,34,9,2.375,1,Flat,3,NA,117.9
https://www.fakehorsedata.com/racing/results/2019-03-17/tampa-bay-downs/517260/race-5-starter-allowance,2.625,2.875,13,7,2.625,2,Flat,2,NA,5.44
https://www.fakehorsedata.com/racing/results/2019-02-23/chepstow/513829/pertemps-network-opportunities-around-the-corner-handicap-hurdle,2.25,21,12,11,2.25,7,Jumps,3,NA,32.84
https://www.fakehorsedata.com/racing/results/2019-02-23/cagnes-sur-mer/514369/du-cheiron-handicap,5,8,10,11,3.25,3,Flat,3,NA,36.95
https://www.fakehorsedata.com/racing/results/2019-03-02/delta-downs/515395/race-4-claiming,3,3.75,4.333333333,9,3,6,Flat,3,NA,8.66
https://www.fakehorsedata.com/racing/results/2019-03-01/tampa-bay-downs/515200/race-4-maiden-claiming,4,2.875,3,6,2.875,4,Flat,2,NA,9.76
https://www.fakehorsedata.com/racing/results/2019-03-04/leopardstown/515072/leopardstown-may-family-day-handicap-hurdle-80-109,9,3.75,15,15,3.75,4,Jumps,3,NA,31.02
https://www.fakehorsedata.com/racing/results/2019-03-01/laurel-park/515177/race-3-maiden-claiming,1.533333333,4.333333333,51,6,1.533333333,2,Flat,2,NA,3.11
https://www.fakehorsedata.com/racing/results/2019-03-15/penn-national/516897/race-7-maiden-claiming,2.875,4,7,9,2.875,5,Flat,3,NA,8.67
https://www.fakehorsedata.com/racing/results/2019-03-19/sunland-park/517388/race-5-claiming,6.5,3.75,8,6,3.25,4,Flat,2,NA,21.9
https://www.fakehorsedata.com/racing/results/2019-03-15/mauquenchy/516866/prix-de-la-societe-des-courses-des-andel-attele,5,6,26,9,2.1,7,Flat,3,NA,27.54
https://www.fakehorsedata.com/racing/results/2019-02-21/vaal/514027/supabets-0861-76-22-37-fm-68-apprentice-handicap-f-and-m,4,6.5,29,14,4,14,Flat,3,NA,19.65
https://www.fakehorsedata.com/racing/results/2019-03-09/hereford/515706/myracingcom-for-cheltenham-tips-novices-hurdle,3,7,13,8,2.75,8,Jumps,2,25.68,15.96
https://www.fakehorsedata.com/racing/results/2019-02-23/toulouse/514382/prix-de-la-federation-du-sud-ouest-attele,6.5,2.5,34,13,2.5,6,Flat,3,NA,14.84
https://www.fakehorsedata.com/racing/results/2019-03-04/fontainebleau/515565/baroud-iii-chase,2,5.5,5,7,2,1,Jumps,2,NA,7.22
https://www.fakehorsedata.com/racing/results/2019-03-03/agen/515439/prix-de-valence-sur-baise-attele,2.75,67,12,17,2.75,16,Flat,3,NA,188.88
https://www.fakehorsedata.com/racing/results/2019-03-06/amiens/515728/prix-le-sulky-saint-valery-sur-somme-attele,13,11,5.5,14,3.25,13,Flat,3,NA,133.56
https://www.fakehorsedata.com/racing/results/2019-03-15/hawthorne/516923/race-7-allowance-optional-claiming,3,26,2.625,5,2.625,5,Flat,2,NA,37.35
https://www.fakehorsedata.com/racing/results/2019-02-26/cagnes-sur-mer/514699/prix-dentrevaux-attele,26,2.2,7.5,15,2.2,1,Flat,3,NA,57.98
https://www.fakehorsedata.com/racing/results/2019-03-08/laurel-park/516073/race-2-maiden-special-weight,6,3.75,4.333333333,5,2.875,1,Flat,2,NA,19.76
https://www.fakehorsedata.com/racing/results/2019-03-16/penn-national/517098/race-2-claiming,7,5,1.8,8,1.8,5,Flat,2,NA,33.37
https://www.fakehorsedata.com/racing/results/2019-02-28/ludlow/514534/forbra-gold-cup-handicap-chase,4.5,5,5,6,2.625,5,Jumps,2,NA,18.5
https://www.fakehorsedata.com/racing/results/2019-03-07/fontainebleau/515852/hubert-catheu-handicap,9,10,10,16,5.5,15,Flat,4,NA,83.27
https://www.fakehorsedata.com/racing/results/2019-03-13/huntingdon/516122/download-the-star-sports-app-handicap-chase,34,6.5,4,5,1.727272727,1,Jumps,2,NA,170.6
https://www.fakehorsedata.com/racing/results/2019-03-11/kempton/515835/32redcom-handicap,4,11,4.5,10,4,2,Flat,3,54.83,34.29
https://www.fakehorsedata.com/racing/results/2019-03-05/mahoning-valley/515658/race-8-claiming,4,11,4.5,10,3.5,10,Flat,3,NA,36.93
https://www.fakehorsedata.com/racing/results/2019-02-19/taunton/513130/roy-dunn-memorial-handicap-chase,9,2.875,6,10,2.875,3,Jumps,3,NA,24.46
https://www.fakehorsedata.com/racing/results/2019-02-21/chantilly/514034/chemin-de-paris-handicap,3.5,21,19,17,3.5,15,Flat,4,NA,65.59
https://www.fakehorsedata.com/racing/results/2019-02-16/penn-national/513433/race-5-maiden-claiming,1.571428571,4.333333333,7,7,1.571428571,7,Flat,2,3.52,3.28
https://www.fakehorsedata.com/racing/results/2019-03-17/turf-paradise/517226/race-5-maiden-claiming,2.75,2.875,19,7,2.75,5,Flat,2,NA,5.83
https://www.fakehorsedata.com/racing/results/2019-03-08/leicester/515541/bakers-waste-open-hunters-chase,1.615384615,8,26,5,1.615384615,3,Jumps,2,NA,5.54
https://www.fakehorsedata.com/racing/results/2019-02-20/punchestown/513300/smart-moneys-on-coral-quevega-mares-hurdle-listed,1.3,5.5,29,6,1.3,6,Jumps,2,NA,2.15
https://www.fakehorsedata.com/racing/results/2019-03-03/leopardstown/514919/tri-equestrian-handicap-chase-grade-b,15,5,9,8,4.5,6,Jumps,2,NA,71.59
https://www.fakehorsedata.com/racing/results/2019-02-28/laurel-park/515025/race-5-maiden-special-weight,7,2.625,10,6,2.625,2,Flat,2,NA,17.29
https://www.fakehorsedata.com/racing/results/2019-03-01/cagnes-sur-mer/515098/prix-de-malmoe-attele,3,5.5,51,13,3,9,Flat,3,NA,11.68
https://www.fakehorsedata.com/racing/results/2019-03-07/penn-national/515930/race-8-allowance,2.1,7,3.25,7,2.1,6,Flat,2,NA,9.5
https://www.fakehorsedata.com/racing/results/2019-03-05/chantilly/515611/darshaan-stakes,1.615384615,5.5,8.5,8,1.615384615,4,Flat,2,NA,4.52
https://www.fakehorsedata.com/racing/results/2019-03-04/southwell/514946/toalscom-handicap-hurdle,26,3.75,29,11,3.75,5,Jumps,3,NA,90.78
https://www.fakehorsedata.com/racing/results/2019-03-02/cagnes-sur-mer/515281/prix-mister-lucken-attele,3.25,2.375,21,8,2.375,6,Flat,2,NA,6.44
https://www.fakehorsedata.com/racing/results/2019-02-13/plumpton/512373/iep-financial-handicap-hurdle,3.5,8,6,8,3.5,8,Jumps,2,NA,20.71
https://www.fakehorsedata.com/racing/results/2019-02-28/meydan/514953/district-one-elegance-stretch-cup-handicap-turf,3.25,3.75,17,14,3.25,14,Flat,3,NA,8.9
https://www.fakehorsedata.com/racing/results/2019-03-08/cordemais/515980/prix-bernard-babin-attele,2,6.5,41,17,2,10,Flat,3,NA,6.73
https://www.fakehorsedata.com/racing/results/2019-02-20/chelmsford-city/513528/bet-in-play-totesportcom-handicap,2.25,8,8,7,2.25,6,Flat,2,NA,11.02
https://www.fakehorsedata.com/racing/results/2019-03-06/gulfstream/515789/race-3-maiden-claiming,1.909090909,13,34,8,1.909090909,5,Flat,2,NA,16.04
https://www.fakehorsedata.com/racing/results/2019-02-23/gulfstream/514468/race-5-allowance-optional-claiming,5.5,13,8.5,8,1.727272727,5,Flat,2,NA,61.86
https://www.fakehorsedata.com/racing/results/2019-02-19/wetherby/513123/join-racing-tv-now-handicap-chase,4,8,3.25,8,3.25,1,Jumps,2,NA,22.98
https://www.fakehorsedata.com/racing/results/2019-02-13/toulouse/512879/prix-darzano-attele,3.75,5.5,11,13,3.5,10,Flat,3,NA,16.45
https://www.fakehorsedata.com/racing/results/2019-03-18/plumpton/516690/watch-sky-sports-racing-in-hd-handicap-hurdle,17,4.5,10,12,4.5,10,Jumps,3,NA,73.6
https://www.fakehorsedata.com/racing/results/2019-02-20/wolverhampton/513314/follow-top-tipsters-at-sun-racing-handicap,2.75,8.5,12,12,2.75,4,Flat,3,NA,14.12
https://www.fakehorsedata.com/racing/results/2019-02-21/charles-town/514112/race-5-allowance,7,15,3,5,1.666666667,1,Flat,2,NA,69.73
https://www.fakehorsedata.com/racing/results/2019-03-20/chepstow/516995/technonicol-borner-waterproof-maiden-hurdle,3.75,1.727272727,67,11,1.727272727,2,Jumps,3,NA,5.76
https://www.fakehorsedata.com/racing/results/2019-03-07/golden-gate-fields/515920/race-1-maiden-claiming,17,2,13,6,2,3,Flat,2,NA,35.08
https://www.fakehorsedata.com/racing/results/2019-03-18/caen/517317/prix-dheurtevent-attele,3,6.5,5,16,3,10,Flat,3,14.56,12.99
https://www.fakehorsedata.com/racing/results/2019-03-07/gulfstream/515954/race-3-claiming,4.5,4.333333333,8,8,2.375,8,Flat,2,NA,17.19
https://www.fakehorsedata.com/racing/results/2019-03-17/wexford/516700/neville-hotels-novice-handicap-hurdle-80-109,7,9,8,12,4,12,Jumps,3,NA,57.24
https://www.fakehorsedata.com/racing/results/2019-03-01/tampa-bay-downs/515198/race-2-waiver-claiming,5.5,2.5,15,7,2.5,5,Flat,2,NA,12.6
https://www.fakehorsedata.com/racing/results/2019-02-22/aqueduct/514262/race-4-maiden-claiming,15,2.75,8.5,8,2.75,2,Flat,2,NA,42.44
https://www.fakehorsedata.com/racing/results/2019-03-02/gulfstream/515411/race-1-claiming,7,1.444444444,3.25,5,1.444444444,2,Flat,2,NA,10.06
https://www.fakehorsedata.com/racing/results/2019-03-19/wetherby/516840/like-racing-tv-on-facebook-handicap-hurdle,3.25,5,23,8,3.25,7,Jumps,2,NA,11.18
https://www.fakehorsedata.com/racing/results/2019-03-15/gulfstream/516967/race-7-maiden-claiming,3.75,6,7.5,10,3.75,8,Flat,3,NA,19.44
https://www.fakehorsedata.com/racing/results/2019-03-12/fontainebleau/516474/dix-cors-royal-chase,1.833333333,9,5.5,10,1.833333333,10,Jumps,3,NA,10.46
https://www.fakehorsedata.com/racing/results/2019-02-16/gulfstream/513493/race-4-maiden-special-weight,3.25,4,2.875,6,2.875,6,Flat,2,NA,10.01
https://www.fakehorsedata.com/racing/results/2019-02-19/turf-paradise/513788/race-2-starter-allowance,4.333333333,6,3.75,7,3.75,2,Flat,2,NA,21.7
https://www.fakehorsedata.com/racing/results/2019-02-28/golden-gate-fields/515018/race-5-claiming,1.727272727,4,9,6,1.727272727,6,Flat,2,NA,3.6
https://www.fakehorsedata.com/racing/results/2019-02-24/neuss/514388/equitana-maiden-stakes,2.25,17,7.5,8,2.25,8,Flat,2,NA,25.97
https://www.fakehorsedata.com/racing/results/2019-03-15/gulfstream/516970/race-10-maiden-claiming,13,34,5,14,2.75,13,Flat,3,NA,386.34
https://www.fakehorsedata.com/racing/results/2019-03-08/cordemais/515977/prix-jacques-fairand-monte,6.5,4.333333333,3.5,16,3.5,4,Flat,3,NA,25.55
https://www.fakehorsedata.com/racing/results/2019-03-13/le-croise-laroche/516607/welcome-handicap,2.375,7,9.5,10,2.375,5,Flat,3,NA,11.66
https://www.fakehorsedata.com/racing/results/2019-03-19/taunton/516847/cornish-rock-gin-rnli-handicap-hurdle,21,34,9,14,3.5,5,Jumps,3,NA,539.41
https://www.fakehorsedata.com/racing/results/2019-03-13/kempton/516112/100-profit-boost-at-32redsportcom-handicap-div-1,3.75,17,12,11,3.5,4,Flat,3,NA,43.37
https://www.fakehorsedata.com/racing/results/2019-03-17/carlisle/516550/racingtvcom-novices-chase,1.444444444,7.5,4.5,4,1.444444444,2,Jumps,0,NA,3.81
https://www.fakehorsedata.com/racing/results/2019-02-27/delta-downs/514846/race-2-claiming,11,26,8,10,2.5,6,Flat,3,NA,239.64
https://www.fakehorsedata.com/racing/results/2019-03-14/golden-gate-fields/516813/race-5-claiming,3.75,6,3.5,7,3.5,7,Flat,2,NA,18.19
https://www.fakehorsedata.com/racing/results/2019-03-14/golden-gate-fields/516810/race-2-claiming,7.5,7.5,5,5,1.909090909,5,Flat,2,NA,45.75
https://www.fakehorsedata.com/racing/results/2019-03-01/golden-gate-fields/515142/race-8-claiming,4,34,2.875,8,2.875,5,Flat,2,NA,102.8
https://www.fakehorsedata.com/racing/results/2019-02-17/vincennes/513514/prix-de-la-gacilly-attele,19,2.1,9.5,17,2.1,9,Flat,3,NA,40.48
https://www.fakehorsedata.com/racing/results/2019-03-08/tampa-bay-downs/516087/race-3-maiden-claiming,2.5,2.2,26,7,2.2,6,Flat,2,NA,3.9
https://www.fakehorsedata.com/racing/results/2019-02-14/vincennes/513014/prix-de-bois-le-roi-attele,2.1,23,13,13,2.1,3,Flat,3,NA,40.32
https://www.fakehorsedata.com/racing/results/2019-03-08/golden-gate-fields/516024/race-8-maiden-special-weight,2.25,4.333333333,13,8,2.25,7,Flat,2,NA,6.42
https://www.fakehorsedata.com/racing/results/2019-02-19/fontainebleau/513745/route-ronde-chase,2.2,3,8,7,2.2,5,Jumps,2,NA,4.76
https://www.fakehorsedata.com/racing/results/2019-03-10/cagnes-sur-mer/516310/prix-de-livourne-attele,6.5,11,9.5,15,4,4,Flat,3,NA,64.55
https://www.fakehorsedata.com/racing/results/2019-03-18/mahoning-valley/517332/race-1-claiming,1.833333333,3,8.5,5,1.833333333,1,Flat,2,NA,3.1
https://www.fakehorsedata.com/racing/results/2019-02-20/gulfstream/513961/race-1-maiden-claiming,17,7.5,5.5,8,3.25,7,Flat,2,NA,125.01
https://www.fakehorsedata.com/racing/results/2019-03-07/southwell/515445/play-4-to-score-at-betway-handicap,2.375,9,2.1,4,2.1,3,Flat,0,NA,10.86
https://www.fakehorsedata.com/racing/results/2019-02-27/mahoning-valley/514882/race-5-claiming,11,4.333333333,4,9,4,6,Flat,3,34.04,48.07
https://www.fakehorsedata.com/racing/results/2019-02-17/navan/512978/ladbrokes-odds-boost-proam-flat-race,1.909090909,5.5,17,12,1.909090909,5,Flat,3,NA,5.71
https://www.fakehorsedata.com/racing/results/2019-03-17/laurel-park/517248/race-2-claiming,17,2.2,4.5,8,2.2,8,Flat,2,26.68,38.75
https://www.fakehorsedata.com/racing/results/2019-03-08/gulfstream/516059/race-3-allowance-optional-claiming,10,8,1.5,5,1.5,5,Flat,2,NA,65.77
https://www.fakehorsedata.com/racing/results/2019-02-13/gulfstream/512925/race-7-allowance-optional-claiming,8.5,17,3.75,7,3.5,3,Flat,2,NA,116.84
https://www.fakehorsedata.com/racing/results/2019-02-23/tampa-bay-downs/514451/race-5-maiden-claiming,3.5,8,26,9,2,5,Flat,3,NA,22.4
https://www.fakehorsedata.com/racing/results/2019-02-17/tampa-bay-downs/513603/race-7-maiden-special-weight,1.8,5,5,7,1.8,6,Flat,2,NA,5.08
https://www.fakehorsedata.com/racing/results/2019-03-16/gulfstream/517171/race-4-allowance-optional-claiming,2.2,26,11,6,2.2,2,Flat,2,NA,33.61
https://www.fakehorsedata.com/racing/results/2019-02-24/golden-gate-fields/514551/race-2-claiming,1.833333333,3.5,34,6,1.833333333,3,Flat,2,NA,3.44
https://www.fakehorsedata.com/racing/results/2019-02-14/turfway-park/513096/race-6-claiming,2.625,7,4,7,2.625,1,Flat,2,NA,13.45
https://www.fakehorsedata.com/racing/results/2019-02-20/ludlow/513321/marches-vets-maiden-hurdle,5,1.5,41,14,1.5,7,Jumps,3,NA,6.88
https://www.fakehorsedata.com/racing/results/2019-03-03/aqueduct/515482/race-2-maiden-claiming,2.625,26,41,6,2.625,1,Flat,2,NA,36.77
